ID,Gender,Use_Facebook,Use_Twitter
416,Female,No,No
409,Female,Yes,Yes
413,Male,No,No
24,Female,Yes,No
412,Female,Yes,No
2203,Male,No,No
5,Male,No,No
6,Male,Yes,No
10,Male,No,No
12,Female,No,No
16,Female,Yes,No
15,Female,Yes,Yes
18,Male,No,No
22,Female,Yes,No
27,Female,Yes,No
3419,Female,No,No
1886,Male,No,Yes
1885,Female,No,No
3422,Male,No,No
4,Female,No,No
437,Female,Yes,Yes
461,Female,No,No
496,Female,No,No
434,Female,Yes,No
435,Male,No,No
469,Female,Yes,No
319,Male,Yes,No
476,Female,No,No
499,Male,Yes,No
468,Female,No,No
498,Male,No,No
464,Male,No,No
2103,Female,No,No
2737,Male,No,No
2197,Female,No,No
2201,Male,No,No
2736,Male,Yes,No
1564,Female,Yes,Yes
1562,Male,No,No
1561,Male,Yes,No
1563,Female,No,No
1568,Female,Yes,No
2832,Male,Yes,No
1957,Female,Yes,No
1958,Female,Yes,Yes
1959,Male,No,No
1961,Male,No,No
1963,Female,Yes,No
252,Male,Yes,Yes
247,Male,No,No
258,Male,Yes,Yes
238,Male,No,No
241,Male,Yes,Yes
1499,Male,No,No
1497,Male,Yes,No
1498,Female,No,No
2440,Female,Yes,Yes
2438,Male,Yes,No
1495,Female,Yes,Yes
1493,Female,Yes,No
1490,Female,No,No
1486,Female,No,No
1574,Female,Yes,No
1575,Male,Yes,No
2584,Male,No,No
2586,Male,No,No
2587,Female,Yes,No
2355,Female,Yes,No
46,Male,Yes,Yes
131,Female,Yes,No
130,Female,No,No
67,Female,No,No
48,Male,Yes,No
42,Female,Yes,No
754,Female,No,No
755,Female,Yes,No
756,Female,Yes,No
758,Female,Yes,No
759,Female,Yes,Yes
761,Female,No,Yes
760,Female,Yes,Yes
764,Female,Yes,No
769,Female,No,No
770,Female,No,No
771,Female,No,No
772,Male,Yes,Yes
775,Female,Yes,No
2280,Female,Yes,No
2288,Female,Yes,No
2284,Female,Yes,No
2283,Female,No,No
2290,Female,Yes,Yes
2285,Female,No,No
886,Female,Yes,No
889,Male,No,No
779,Male,Yes,Yes
778,Male,No,No
783,Female,Yes,Yes
790,Female,Yes,No
791,Female,Yes,No
793,Female,No,No
794,Female,No,No
796,Female,Yes,No
798,Male,Yes,Yes
484,Female,Yes,Yes
497,Male,Yes,No
502,Male,No,No
507,Female,Yes,Yes
506,Male,No,No
495,Female,No,No
501,Female,No,No
228,Female,No,No
178,Male,Yes,No
179,Female,No,No
139,Female,Yes,No
3434,Female,Yes,No
3433,Female,Yes,No
2325,Female,No,No
2315,Female,No,No
2323,Male,Yes,No
2314,Male,No,No
2318,Male,Yes,No
2320,Female,No,No
3564,Male,Yes,No
2410,Female,No,No
2412,Male,Yes,Yes
2093,Female,Yes,No
2092,Female,Yes,No
2098,Female,Yes,No
2090,Female,Yes,No
2095,Male,Yes,No
1948,Male,Yes,No
999,Male,Yes,No
993,Male,Yes,No
998,Female,Yes,No
1950,Female,Yes,Yes
995,Male,No,No
1952,Male,Yes,Yes
988,Female,No,No
982,Male,Yes,No
992,Male,Yes,Yes
984,Male,Yes,No
990,Male,Yes,No
989,Female,Yes,Yes
1262,Female,Yes,Yes
1634,Female,No,No
1263,Male,Yes,Yes
